name;party
Recep Tayyip Erdoğan;AKP
Murat Kurum;AKP
Mehmet Şimşek;AKP
Süleyman Soylu;AKP
Berat Albayrak;AKP
Efkan Âlâ;AKP
 Binali Yıldırım;AKP
Özgür Özel;CHP
Mansur Yavaş;CHP
Kemal Kılıçdaroğlu;CHP
Ekrem İmamoğlu;CHP
Meral Akşener;İYİ
Uğur Poyraz;İYİ
Kürşad Zorlu;İYİ 
Koray Aydın;İYİ
Devlet Bahçeli;MHP
Edip Semih Yalçın;MHP
Feti Yıldız;MHP
Mustafa Kalaycı;MHP
İsmail Özdemir;MHP
Pervin Buldan;DEM
Tülay Hatimoğulları Oruç;DEM
Selahattin Demirtaş;DEM
 Sırrı Süreyya Önder;DEM
 Ahmet Davutoğlu;GEL
Ali Babacan;DEVA
Fatih Erbakan;YRP
