name,party,article_size,Ocak 2013,Şubat 2013,Mart 2013,Nisan 2013,Mayıs 2013,Haziran 2013,Temmuz 2013,Ağustos 2013,Eylül 2013,Ekim 2013,Kasım 2013,Aralık 2013,Ocak 2014,Şubat 2014,Mart 2014,Nisan 2014,Mayıs 2014,Haziran 2014,Temmuz 2014,Ağustos 2014,Eylül 2014,Ekim 2014,Kasım 2014,Aralık 2014,Ocak 2015,Şubat 2015,Mart 2015,Nisan 2015,Mayıs 2015,Haziran 2015,Temmuz 2015,Ağustos 2015,Eylül 2015,Ekim 2015,Kasım 2015,Aralık 2015,Ocak 2016,Şubat 2016,Mart 2016,Nisan 2016,Mayıs 2016,Haziran 2016,Temmuz 2016,Ağustos 2016,Eylül 2016,Ekim 2016,Kasım 2016,Aralık 2016,Ocak 2017,Şubat 2017,Mart 2017,Nisan 2017,Mayıs 2017,Haziran 2017,Temmuz 2017,Ağustos 2017,Eylül 2017,Ekim 2017,Kasım 2017,Aralık 2017,Ocak 2018,Şubat 2018,Mart 2018,Nisan 2018,Mayıs 2018,Haziran 2018,Temmuz 2018,Ağustos 2018,Eylül 2018,Ekim 2018,Kasım 2018,Aralık 2018,Ocak 2019,Şubat 2019,Mart 2019,Nisan 2019,Mayıs 2019,Haziran 2019,Temmuz 2019,Ağustos 2019,Eylül 2019,Ekim 2019,Kasım 2019,Aralık 2019,Ocak 2020,Şubat 2020,Mart 2020,Nisan 2020,Mayıs 2020,Haziran 2020,Temmuz 2020,Ağustos 2020,Eylül 2020,Ekim 2020,Kasım 2020,Aralık 2020,Ocak 2021,Şubat 2021,Mart 2021,Nisan 2021,Mayıs 2021,Haziran 2021,Temmuz 2021,Ağustos 2021,Eylül 2021,Ekim 2021,Kasım 2021,Aralık 2021,Ocak 2022,Şubat 2022,Mart 2022,Nisan 2022,Mayıs 2022,Haziran 2022,Temmuz 2022,Ağustos 2022,Eylül 2022,Ekim 2022,Kasım 2022,Aralık 2022,Ocak 2023,Şubat 2023,Mart 2023,Nisan 2023,Mayıs 2023,Haziran 2023,Temmuz 2023,Ağustos 2023,Eylül 2023,Ekim 2023,Kasım 2023,Aralık 2023,Ocak 2024,Şubat 2024,Mart 2024,Nisan 2024,Mayıs 2024,Haziran 2024,Temmuz 2024,Ağustos 2024,Eylül 2024,Ekim 2024,Kasım 2024,Aralık 2024
Recep_Tayyip_Erdoğan,adalet_ve_kalkınma_partisi,205724.0,0,0,0,0,0,0,0,190,-1501,849,28,-11956,286,5349,1494,-289,2056,1317,1779,335,350,126,916,1816,163,239,329,10039,1690,119,827,145,-6154,745,3258,-232,726,14673,149,1707,5820,20864,15000,-27,-12,147,-123,0,-4,314,4,2477,1561,2,-11,-559,-23,-27,-67,34,0,0,52,8,8,16,307,1493,46,-688,0,-78,17,-17,87,59,1,-1,0,-5,254,224,0,0,2,24001,33,224,80,21,851,623,42,7045,607,-30,-69,41,4172,24,224,113,670,3016,433,4107,1141,618,103,-17,769,747,619,42,21,-157,239,3518,666,7223,9456,266,13584,3757,12247,8014,1012,-2254,-51777,-1427,620,-134,-47,1,-156,850,21,294,0,0,0,0,0,0
Kemal_Kılıçdaroğlu,cumhuriyet_halk_partisi,130819.0,30,11,-455,-2,-4,293,0,-1,1,0,0,0,0,-42,-11,0,0,41,-78,40,848,20,0,469,-484,-16,51,-343,126,173,26,-6,25,-139,645,0,1395,40,1509,4768,47,3552,1001,1158,-68,1,1592,-2,-162,169,0,27,-15,0,20,29,-93,0,-130,19,0,0,-3,41,104,25,2471,38,0,-1,0,0,2,0,13,5460,0,8,0,0,0,0,0,22,0,35,248,1038,68,259,-8,21,-262,15157,149,-58,77,6,162,-26,39,331,5,1813,45,692,-3,2,-1390,-81,123,-75,7279,-3066,11,139,38106,5863,59,2226,13,2889,6347,-4171,12898,-1213,547,-1,-462,537,256,829,612,1044,0,-6,4,0,0,0,0,0,0,0
Binali_Yıldırım,adalet_ve_kalkınma_partisi,125429.0,252,0,2873,8,0,0,-46,0,0,-10,27,99,0,0,0,283,0,364,0,0,0,0,0,0,0,178,0,0,0,0,0,22,385,0,1527,181,537,-7,0,28,7086,30310,-3950,4738,31787,53,6778,122,-145,-2635,53,-13,558,35,-1,12,27,5,158,47,0,0,0,0,-4,49,897,31,16,18,0,1,0,797,7,907,147,334,0,0,-30,157,45,0,10,26511,37,140,252,101,125,-192,-97,879,-17,-8,367,-26,204,-3,478,0,-138,-712,-12,987,21,20,-1,-236,1842,0,744,262,1353,-23,0,-981,7,311,-2,-216,-307,444,-497,4,-82,0,70,3174,0,27,24,-3,57,0,-48,0,0,0,0,0,0,0
Devlet_Bahçeli,milliyetçi_hareket_partisi,106094.0,0,0,-116,0,-35,3,23,0,285,0,-31,25,24,0,97,0,-135,0,-6,-21,29,112,37,0,0,2,160,3,168,85,40,189,411,24,-68,-81,1,45,136,120,7,9928,28385,-16,-10,348,649,-43,276,149,-48,157,0,2,0,0,34,0,13,47,0,0,0,0,11,-13,36,-1,6,0,0,0,0,0,26,1130,0,10,0,0,0,563,0,0,0,0,280,1629,560,86,311,4,-141,1576,8,-8,0,-1,12,395,18112,6374,0,-15,0,22006,581,0,14,-54,267,0,7,0,93,92,0,232,0,650,526,216,921,71,165,886,67,0,-62,54,49,102,0,-5,396,116,18,0,0,0,0,0,0,0
Ali_Babacan,deva_partisi,85861.0,-699,1,-259,0,0,0,32,0,278,0,0,0,0,0,0,0,-4,0,0,71,0,0,-20,215,0,193,81,0,0,44,0,38,552,113,248,-7,0,172,81,-17,-12,303,0,0,-303,11,1367,-4,915,-1,0,0,0,0,0,9,0,0,-44,47,0,6,0,0,591,0,10,0,0,0,0,0,0,0,26,0,0,156,305,0,-34,0,0,0,46,1,1316,52,1476,175,-305,772,232,1592,94,49,-5,-14,-203,104,121,572,48,0,0,409,145,-36,-2,37,0,-406,778,0,6,117,0,595,496,273,44,-5,262,-869,943,144,45388,32,-3403,1307,-665,24037,-801,-2,-137,82,0,0,0,0,0,0,0,0
Ekrem_İmamoğlu,cumhuriyet_halk_partisi,80775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2997,0,39,6805,3499,3319,5580,-8,596,3694,194,0,158,3138,1716,2055,12760,7086,2357,653,-399,2191,673,2383,554,190,43,-17,-246,-1,-103,-570,123,8757,0,1140,5328,-22850,-17878,-300,64223,10098,6477,3367,809,-76391,46,4108,645,37,769,222,1076,344,462,-5,190,3915,129,21,271,534,784,6066,16918,4,0,0,0,0,0,0
Hulusi_Akar,adalet_ve_kalkınma_partisi,51972.0,0,0,0,0,0,0,0,2915,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,343,0,-343,2013,341,27,0,178,3538,2844,0,-42,1007,24,1037,-58,181,-19,13,-1,2,783,19,53,0,0,0,2,0,0,0,0,12,9,187,0,0,0,528,66,0,0,0,-43,0,0,0,14,0,0,0,0,0,0,0,290,0,553,16345,413,5,8187,20,-33,-6,1407,623,107,0,-13,23,591,-276,171,0,968,185,1274,97,0,-62,12,0,-6084,6092,137,-34,-69,-376,505,0,0,24,0,0,128,65,2099,1942,-4,8,835,63,8,-18,-17,48,0,34,0,0,0,0,0,0,0
Meral_Akşener,iyi_parti,47973.0,35,0,-67,0,-35,-18,60,0,1006,0,0,0,-2,101,1,39,0,46,0,0,0,0,0,0,0,322,0,0,0,144,94,-141,247,0,8,307,0,-1,710,-412,621,5230,169,92,-4815,2268,-114,1843,3203,111,49,81,-40,0,3,0,863,434,-153,60,42,0,1,-2,1243,6,0,0,0,0,0,0,18,0,13,0,0,0,0,0,51,0,0,-25,34,0,599,4,3820,767,0,948,-275,1651,31,452,-103,0,-2,1213,293,-112,38,164,558,3433,11,0,5,0,357,-30,214,0,621,-31,595,-3759,5,1528,1650,16,871,4,192,9868,789,-2,2,770,352,15,-244,4100,-1506,1265,437,0,0,0,0,0,0,0
Yunus_Emre,cumhuriyet_halk_partisi,47111.0,0,124,-349,24,4,125,83,39,-15,0,302,-1418,6829,358,-265,0,1290,0,0,102,-27,0,42,-10,-68,17,14,-115,2,0,10,0,-13,0,0,10,31,-14,35,0,206,8,-19,1762,0,53,4,2536,-2098,-446,1962,5482,-247,0,5,-1,0,0,1,11,0,0,-1,173,0,0,0,0,40,0,-15,0,22,11,0,0,0,0,0,-276,-81,25,0,0,0,10,338,183,-3,1,145,0,2,969,-7,2,-8,17,693,0,-34,-188,0,-1,0,223,296,-341,206,-230,2,1173,2,381,-16,17,0,0,4,-4,1,31,-14,25,0,-203,0,0,1037,-1018,0,0,38403,-40,-381,-21136,-911,0,0,0,0,0,0,0
Ahmet_Davutoğlu,gelecek_partisi,46134.0,-57,0,-748,0,0,0,0,94,-7,0,0,0,0,19,3,0,0,44,19,4195,856,7794,179,22,168,946,-56,-6,-558,858,250,147,43,241,1364,-2,-52,56,53,0,13204,393,-533,-38,4,1,24,0,136,-1,60,27,-48,0,0,61,0,25,-45,78,-236,0,-40,0,591,0,-61,0,-31,0,-4,0,2,36,26,-409,0,21,-292,75,376,13,0,408,50,126,874,1275,45,50,17,624,94,2305,-12,69,-24,5,0,-15,-4,54,-45,0,-16,2118,0,0,0,576,0,177,159,0,62,0,0,0,463,83,0,32,58,498,-364,395,-376,0,-306,163,10,96,-10,19,23,0,0,0,0,0,0,0,0,0
